LOMAKE;K1A1;K1A2;K1A2L;K1A3;K1A3L;K1A4;K1A5;K1A6;K1A8L;K1B;K2A1;K2A2;K2A3;K2A4;K2A5;K2A6;K2A8;K2A9;K3A1;K3A2;K3A3;K3A4;K3A5;K3A6;K3A7;K3A8;K3A9;K3A10;K3A11;K3A12;K3A13;K3A14;K3A15;K4A1L;K4A2L;K4A3L;K4A4L;K3B;T1;T1L;T2;T20L;T21A;T21B;T21C;T21D;T3A;T3B;T3C;T3D;T4A;T4A1;T4A2;T4B1;T4B2;T4C;T4D;T4E;T4F;T4G;T5A;T5B;T5C;T5D;T5E;T5S;T5U;T6;T7;T8;T9A;T9B;T9C;T9D;T9E;T9F;T9G;T9H;T10;T11;T12;T13;T14;T15;JUNA_ASEMA;LAHTOLAITURI;LINJA;LIIKENNEMUOTO;ALUE;SUUNTA;VAUNUTYYPPI;VAUNUNRO;ALUS;TASTE;SAA;PAIVAMAARA;KAUSI;JOKERI;TUTKIJA;KIELI;KOHDE;LIIKENNOITSIJA;PAINO
441233;4;;;4;;3;3;4;;4;5;5;4;4;4;3;;;;;;;;;;;4;4;1;2;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1961;2;;1;;;;;;;91;;;1;3;2;;;95;2;91;1;;633;;1;1;1.7.2014 15:28;2;;5838;1;H146;NOF;31.0176792064124
441234;4;3;;4;;3;4;4;;4;5;4;4;4;4;4;;;;;;;;;;;4;3;;;;;;;;;;4;2;;2;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1;1997;2;;;;1;;;;;91;;;1;1;2;;;98;2;91;1;;922;;1;1;1.7.2014 14:48;2;;5838;1;H78;HELB;32.1325160868192
441235;4;4;;4;;3;3;3;;3;4;5;4;4;4;2;;;;;;;;;;;4;;;;;;;;;;;3;1;;2;;;;;;;;1;;;;;;;;;;;;;;;;1;;;1;1952;2;;;;;;1;;;91;;;2;1;1;;;98;2;91;1;;922;;1;1;1.7.2014 14:48;2;;5838;1;H78;HELB;32.1325160868192
441236;4;;;4;;4;5;4;;4;5;5;5;5;5;5;;;;;;;;;;;4;4;2;2;;;;;;;;5;3;;2;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;1;1976;1;;;;;;;;;;;;;;;;;98;2;91;1;;922;;1;1;1.7.2014 14:48;2;;5838;1;H78;HELB;32.1325160868192
441237;4;4;;5;;4;3;3;;3;3;4;4;;4;4;;;;;;;;;;;5;4;3;3;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;1959;2;1;;;;;;;;91;;;1;1;2;;;95;2;91;1;;633;;1;1;1.7.2014 15:28;2;;5838;1;H146;NOF;31.0176792064124
441238;5;5;;5;;5;5;5;;5;5;4;5;5;5;5;;;;;;;;;;;5;5;1;1;;;;;;;;5;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1952;2;;1;;;;;;;91;;;2;2;2;;;95;2;91;1;;633;;1;1;1.7.2014 15:28;2;;5838;1;H146;NOF;31.0176792064124
441239;4;;;4;;2;5;5;;4;5;3;4;;5;3;;;;;;;;;;;5;5;1;1;;;;;;;;4;3;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;1991;2;1;;;;;;;;91;;;1;2;2;;;76B;2;91;1;;759;;1;2;1.7.2014 8:35;2;;5838;1;H95;NOF;16.3258124811217
441240;4;4;;4;;3;4;3;;4;5;4;4;3;5;3;;;;;;;;;;;5;4;3;3;;;;;;;;4;1;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1982;2;1;;;;;;;;91;;;1;1;2;;;76B;2;91;2;;759;;1;2;1.7.2014 8:20;2;;5838;1;H95;NOF;16.3258124811217
441241;3;3;;3;;4;4;4;;4;5;5;4;5;4;2;;;;;;;;;;;4;4;1;1;;;;;;;;4;1;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;1952;1;;1;;;;;;;91;;;1;2;2;;;76B;2;91;1;;759;;1;2;1.7.2014 8:12;2;;5838;1;H95;NOF;16.3258124811217
441242;4;4;;3;;3;4;4;;4;5;4;5;4;5;5;;;;;;;;;;;5;4;1;1;;;;;;;;4;2;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1976;1;1;;;;;;;;91;;;1;2;2;;;76B;2;91;1;;759;;1;2;1.7.2014 8:12;2;;5838;1;H95;NOF;16.3258124811217
